target_id	length	eff_length	est_counts	tpm
ENST00000456328.2	1657	1496.66	0	0
ENST00000450305.2	632	471.659	0	0
ENST00000488147.1	1351	1190.66	2.39783	39.3966
ENST00000619216.1	68	27.902	0	0
ENST00000473358.1	712	551.659	0	0
ENST00000469289.1	535	374.835	0	0
ENST00000607096.1	138	19.8325	0	0
ENST00000417324.1	1187	1026.66	0	0
ENST00000606857.1	840	679.659	0	0
ENST00000642116.1	1414	1253.66	0	0
ENST00000492842.2	939	778.659	0	0
ENST00000641515.2	2618	2457.66	0	0
ENST00000335137.4	1054	893.659	0	0
ENST00000466430.5	2748	2587.66	0	0
ENST00000495576.1	1319	1158.66	0	0
ENST00000610542.1	723	562.659	0	0
ENST00000442987.3	3812	3651.66	0	0
ENST00000494149.2	755	594.659	0	0
ENST00000595919.1	284	129.151	0	0
ENST00000493797.1	323	165.733	0	0
ENST00000484859.1	4860	4699.66	0	0
ENST00000466557.6	1301	1140.66	0	0
ENST00000410691.1	104	11.6093	0	0
ENST00000496488.1	457	297.109	0	0
ENST00000662089.1	821	660.659	0	0
ENST00000624431.2	570	409.835	0	0
ENST00000623083.4	1397	1236.66	4.73542	74.9093
ENST00000612080.1	68	27.902	0	0
ENST00000442116.1	1292	1131.66	0	0
ENST00000441866.2	2256	2095.66	0	0
ENST00000450734.1	457	297.109	0	0
ENST00000669836.1	736	575.659	0	0
ENST00000458203.2	385	225.815	0	0
ENST00000635159.1	994	833.659	0	0
ENST00000431321.2	437	277.167	0	0
ENST00000437905.2	363	204.328	0	0
ENST00000426406.3	995	834.659	0	0
ENST00000445840.2	183	45.5498	0	0
ENST00000432723.3	2477	2316.66	0	0
ENST00000514436.1	1239	1078.66	0	0
ENST00000642124.1	456	296.109	0	0
ENST00000614007.1	104	11.6093	0	0
ENST00000634833.2	906	745.659	0	0
ENST00000423796.1	607	446.721	0	0
ENST00000634337.2	891	730.659	0	0
ENST00000416931.1	372	213.215	0	0
ENST00000457540.1	1044	883.659	7.51647	166.401
ENST00000414273.1	1543	1382.66	1.22395	17.3171
ENST00000621981.1	89	19.9156	0	0
ENST00000427426.1	682	521.659	3.01241	112.968
ENST00000467115.1	207	63.2304	0	0
ENST00000514057.1	681	520.659	79.4912	2986.71
ENST00000416718.2	547	386.835	0	0
ENST00000438434.2	424	264.313	0	0
ENST00000332831.4	995	834.659	0	0
ENST00000636676.1	183	45.5498	0	0
ENST00000440782.3	2455	2294.66	0	0
ENST00000506640.2	6432	6271.66	1.04572	3.26183
ENST00000411249.1	104	11.6093	0	0
ENST00000422528.1	456	296.109	0	0
ENST00000428504.2	417	257.331	0	0
ENST00000670700.1	1378	1217.66	1	16.0658
ENST00000429505.6	1201	1040.66	0	0
ENST00000434264.6	844	683.659	1	28.6146
ENST00000656571.1	1167	1006.66	0	0
ENST00000443772.2	1775	1614.66	0	0
ENST00000644482.1	114	12.3196	0	0
ENST00000447500.4	872	711.659	0	0
ENST00000667728.1	2949	2788.66	0	0
ENST00000590817.3	238	88.5563	0	0
ENST00000326734.2	1947	1786.66	0	0
ENST00000473798.1	1317	1156.66	0	0
ENST00000445118.7	6616	6455.66	5.32974	16.1507
ENST00000670780.1	8389	8228.66	0	0
ENST00000666741.1	5483	5322.66	6.67771e-06	2.45429e-05
ENST00000608189.5	1653	1492.66	0	0
ENST00000609009.6	1932	1771.66	0	0
ENST00000657837.1	2933	2772.66	0	0
ENST00000661237.1	1771	1610.66	1.67025	20.2864
ENST00000661463.1	2070	1909.66	0	0
ENST00000446136.1	1807	1646.66	0	0
ENST00000432963.1	504	343.956	0	0
ENST00000415481.1	1058	897.659	0	0
ENST00000635557.1	837	676.659	0	0
ENST00000607769.1	351	192.666	0	0
ENST00000448179.1	3043	2882.66	0	0
ENST00000398216.2	443	283.148	0	0
ENST00000417705.1	1389	1228.66	0	0
ENST00000342066.8	2557	2396.66	0	0
ENST00000616016.4	2391	2230.66	0	0
ENST00000616125.4	2230	2069.66	0	0
ENST00000617307.4	2314	2153.66	0	0
ENST00000618181.4	2179	2018.66	0	0
ENST00000618323.4	2159	1998.66	0	0
ENST00000618779.4	2368	2207.66	0	0
ENST00000620200.4	1874	1713.66	0	0
ENST00000622503.4	2557	2396.66	0	0
ENST00000327044.7	2757	2596.66	4	30.135
ENST00000338591.8	2567	2406.66	0	0
ENST00000622660.1	1950	1789.66	0	0
ENST00000379410.8	3176	3015.66	0	0
ENST00000379407.7	2194	2033.66	0	0
ENST00000379409.6	2455	2294.66	0	0
ENST00000341290.6	3035	2874.66	0	0
ENST00000433179.3	3340	3179.66	0	0
ENST00000606034.1	2086	1925.66	0	0
ENST00000428771.6	1040	879.659	0	0
ENST00000304952.10	899	738.659	0	0
ENST00000484667.2	667	506.659	2	77.222
ENST00000624697.4	787	626.659	0	0
ENST00000423619.2	154	27.5847	0	0
ENST00000458555.1	471	311.067	0	0
ENST00000649529.1	637	476.659	0	0
ENST00000379370.7	7326	7165.66	0	0
ENST00000620552.4	7394	7233.66	9	24.3395
ENST00000418300.1	402	242.515	0	0
ENST00000394517.7	1043	882.659	0	0
ENST00000442292.2	829	668.659	1	29.2565
ENST00000412397.2	1219	1058.66	0	0
ENST00000453464.3	1900	1739.66	0	0
ENST00000379339.5	2429	2268.66	0	0
ENST00000421241.6	1841	1680.66	0	0
ENST00000379320.5	2324	2163.66	1	9.04145
ENST00000379319.5	1097	936.659	0	0
ENST00000648183.1	1095	934.659	0	0
ENST00000416774.1	1620	1459.66	0	0
ENST00000384997.3	95	15.2138	0	0
ENST00000384875.3	90	19.3653	0	0
ENST00000362106.1	83	28.4458	0	0
ENST00000606993.1	987	826.659	0	0
ENST00000379317.1	3532	3371.66	0	0
ENST00000379290.5	2283	2122.66	0	0
ENST00000379289.5	2259	2098.66	0	0
ENST00000379288.3	2114	1953.66	0	0
ENST00000328596.10	851	690.659	0	0
ENST00000379268.7	1083	922.659	0	0
ENST00000486728.5	727	566.659	0	0
ENST00000379265.5	705	544.659	0	0
ENST00000379236.4	1075	914.659	0	0
ENST00000360001.11	1956	1795.66	3.20696	34.9379
ENST00000660930.1	2137	1976.66	0	0
ENST00000263741.12	2079	1918.66	5.42531	55.3163
ENST00000655486.1	1089	928.659	2.36773	49.8773
ENST00000379198.5	2805	2644.66	3	22.1911
ENST00000330388.2	1036	875.659	0	0
ENST00000565563.1	1558	1397.66	0	0
ENST00000347370.6	2387	2226.66	0	0
ENST00000349431.10	1733	1572.66	0	0
ENST00000400929.6	1057	896.659	0	0
ENST00000360466.6	1047	886.659	0	0
ENST00000400930.8	1021	860.659	1	22.7298
ENST00000434139.1	268	114.764	0	0
ENST00000453732.1	389	229.707	0	0
ENST00000379116.10	3050	2889.66	0	0
ENST00000338555.6	3475	3314.66	0	0
ENST00000400928.7	2731	2570.66	3.12285e-07	2.37648e-06
ENST00000325425.12	2679	2518.66	1	7.76707
ENST00000354700.10	3793	3632.66	14.4058	77.5781
ENST00000353662.4	2280	2119.66	2.59422	23.9424
ENST00000613751.1	61	25.3023	0	0
ENST00000379031.10	1257	1096.66	1	17.8384
ENST00000540437.5	2629	2468.66	3.19355	25.3069
ENST00000545578.5	2263	2102.66	0	0
ENST00000618806.4	1523	1362.66	0.000525939	0.00755048
ENST00000620829.4	1862	1701.66	0	0
ENST00000435064.5	2148	1987.66	6.80592	66.9841
ENST00000411962.5	1832	1671.66	0	0
ENST00000421495.6	1868	1707.66	0	0
ENST00000419704.5	1798	1637.66	0	0
ENST00000450926.6	1839	1678.66	0	0
ENST00000620702.1	65	25.9796	0	0
ENST00000444968.1	386	226.784	0	0
ENST00000429572.5	1104	943.659	0	0
ENST00000343938.9	2154	1993.66	2	19.6248
ENST00000339381.6	3475	3314.66	0	0
ENST00000378891.9	2926	2765.66	0	0
ENST00000378888.10	3305	3144.66	8	49.7672
ENST00000610709.2	2268	2107.66	0	0
ENST00000616525.1	59	23.3023	0	0
ENST00000342753.8	2231	2070.66	3	28.3426
ENST00000309212.10	2273	2112.66	0	0
ENST00000445648.5	2001	1840.66	0	0
ENST00000477278.3	2728	2567.66	0	0
ENST00000338370.7	1072	911.659	0	0
ENST00000338338.9	1047	886.659	0	0
ENST00000321751.9	798	637.659	5	153.394
ENST00000378853.3	875	714.659	0	0
ENST00000435351.2	367	208.286	0	0
ENST00000400809.8	3112	2951.66	7.45806	49.4295
ENST00000408952.8	1857	1696.66	5.49339	63.3392
ENST00000408918.8	1186	1025.66	4.04855	77.2189
ENST00000447725.2	1843	1682.66	1	11.626
ENST00000344843.12	700	539.659	4	145
ENST00000482352.1	1049	888.659	0	0
ENST00000582431.2	293	137.533	0	0
ENST00000607307.1	1523	1362.66	0	0
ENST00000520296.5	1632	1471.66	0	0
ENST00000427211.3	1976	1815.66	0	0
ENST00000537107.5	2190	2029.66	0	0
ENST00000454272.2	1506	1345.66	0	0
ENST00000442470.1	876	715.659	0	0
ENST00000428932.1	543	382.835	0	0
ENST00000378821.3	492	332.002	3	176.77
ENST00000430109.1	510	349.933	0	0
